Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2011,18,2011-04-23,Ein Frankfurt,1,1,Bayern Munich,D,5.5,4.33,1.53
2011,18,2011-04-23,M'gladbach,1,0,Dortmund,H,5.25,4.2,1.57
2011,18,2011-04-24,Nurnberg,0,0,Mainz,D,2.1,3.4,3.4
2011,18,2011-04-24,Wolfsburg,4,1,FC Koln,H,1.67,4.0,4.75
2011,18,2011-04-29,Kaiserslautern,2,0,St Pauli,H,1.8,3.6,4.33
2011,18,2011-04-29,Werder Bremen,0,1,Wolfsburg,A,2.1,3.6,3.2
2011,18,2011-04-30,Hoffenheim,1,2,Stuttgart,A,2.8,3.4,2.38
2011,18,2011-04-30,Mainz,3,0,Ein Frankfurt,H,2.0,3.4,3.75
2011,18,2011-04-30,Hannover,0,1,M'gladbach,A,1.8,3.6,4.33
2011,18,2011-04-30,Bayern Munich,4,1,Schalke 04,H,1.29,5.5,9.5
2011,18,2011-04-30,FC Koln,2,0,Leverkusen,H,3.8,3.6,1.91
2011,18,2011-04-30,Dortmund,2,0,Nurnberg,H,1.4,4.5,7.5
2011,18,2011-04-30,Hamburg,0,2,Freiburg,A,1.62,4.0,5.0
2011,19,2011-05-07,Wolfsburg,1,2,Kaiserslautern,A,1.44,4.33,7.0
2011,19,2011-05-07,Ein Frankfurt,0,2,FC Koln,A,2.0,3.4,3.75
2011,19,2011-05-07,Leverkusen,1,1,Hamburg,D,1.44,4.33,7.0
2011,19,2011-05-07,M'gladbach,2,0,Freiburg,H,1.57,4.0,5.5
2011,19,2011-05-07,Nurnberg,1,2,Hoffenheim,A,1.8,3.6,4.33
2011,19,2011-05-07,Schalke 04,1,3,Mainz,A,2.38,3.25,3.0
2011,19,2011-05-07,St Pauli,1,8,Bayern Munich,A,11.0,6.5,1.22
2011,19,2011-05-07,Stuttgart,2,1,Hannover,H,2.1,3.4,3.4
2011,19,2011-05-07,Werder Bremen,2,0,Dortmund,H,2.0,3.6,3.5
2011,19,2011-05-14,Kaiserslautern,3,2,Werder Bremen,H,2.3,3.5,2.88
2011,19,2011-05-14,Hannover,3,1,Nurnberg,H,2.05,3.5,3.4
2011,19,2011-05-14,Mainz,2,1,St Pauli,H,1.36,5.0,7.5
2011,19,2011-05-14,Hamburg,1,1,M'gladbach,D,2.88,3.5,2.3
2011,19,2011-05-14,Hoffenheim,1,3,Wolfsburg,A,3.5,3.6,2.0
2011,19,2011-05-14,FC Koln,2,1,Schalke 04,H,2.25,3.4,3.1
2011,19,2011-05-14,Bayern Munich,2,1,Stuttgart,H,1.29,5.5,10.0
2011,20,2011-05-14,Freiburg,0,1,Leverkusen,A,4.33,3.6,1.8
2011,20,2011-05-14,Dortmund,3,1,Ein Frankfurt,H,1.57,4.33,5.0
2012,1,2011-08-05,Dortmund,3,1,Hamburg,H,1.57,3.8,6.0
2012,1,2011-08-06,Augsburg,2,2,Freiburg,D,2.25,3.4,3.1
2012,1,2011-08-06,FC Koln,0,3,Wolfsburg,A,2.5,3.4,2.7
2012,1,2011-08-06,Hannover,2,1,Hoffenheim,H,2.1,3.4,3.4
2012,1,2011-08-06,Hertha,0,1,Nurnberg,A,2.1,3.4,3.4
2012,1,2011-08-06,Stuttgart,3,0,Schalke 04,H,2.2,3.4,3.2
