Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2012,28,2012-10-06,Santos,1,1,Internacional,D,2.56,3.14,2.68
2012,28,2012-10-06,Atletico-MG,6,0,Figueirense,H,1.33,4.68,8.67
2012,28,2012-10-06,Nautico,2,1,Corinthians,H,2.3,3.24,2.94
2012,28,2012-10-06,Atletico GO,0,1,Vasco,A,3.39,3.24,2.09
2012,28,2012-10-06,Sao Paulo,3,0,Palmeiras,H,1.95,3.34,3.72
2012,29,2012-10-10,Bahia,0,2,Fluminense,A,3.03,3.17,2.31
2012,29,2012-10-10,Botafogo RJ,0,2,Santos,A,1.73,3.62,4.4
2012,29,2012-10-10,Cruzeiro,2,0,Portuguesa,H,2.32,3.29,2.88
2012,29,2012-10-10,Figueirense,3,1,Atletico GO,H,1.9,3.44,3.79
2012,29,2012-10-10,Ponte Preta,2,1,Nautico,H,1.65,3.7,4.91
2012,29,2012-10-11,Vasco,0,2,Sao Paulo,A,2.51,3.16,2.74
2012,29,2012-10-11,Internacional,3,0,Atletico-MG,H,2.19,3.28,3.15
2012,29,2012-10-11,Corinthians,3,2,Flamengo RJ,H,1.78,3.48,4.35
2012,29,2012-10-12,Palmeiras,0,1,Coritiba,A,1.91,3.37,3.85
2012,29,2012-10-12,Sport Recife,1,3,Gremio,A,2.45,3.28,2.71
2012,30,2012-10-13,Atletico GO,3,1,Internacional,H,4.18,3.48,1.81
2012,30,2012-10-13,Flamengo RJ,1,1,Cruzeiro,D,2.04,3.37,3.42
2012,30,2012-10-14,Fluminense,2,1,Ponte Preta,H,1.46,4.06,6.67
2012,30,2012-10-14,Sao Paulo,2,0,Figueirense,H,1.28,5.17,9.99
2012,30,2012-10-14,Santos,2,0,Vasco,H,2.18,3.25,3.18
2012,30,2012-10-14,Gremio,1,1,Botafogo RJ,D,1.64,3.67,5.04
2012,30,2012-10-14,Nautico,1,0,Palmeiras,H,1.78,3.56,4.22
2012,30,2012-10-14,Atletico-MG,2,1,Sport Recife,H,1.28,5.15,9.75
2012,30,2012-10-14,Portuguesa,1,1,Corinthians,D,2.47,3.24,2.71
2012,30,2012-10-14,Coritiba,2,1,Bahia,H,1.6,3.67,5.41
2012,31,2012-10-17,Bahia,0,1,Palmeiras,A,2.25,3.22,3.06
2012,31,2012-10-17,Coritiba,2,1,Nautico,H,1.52,4.01,5.85
2012,31,2012-10-17,Fluminense,2,2,Gremio,D,2.03,3.31,3.5
2012,31,2012-10-17,Internacional,2,3,Figueirense,A,1.35,4.64,8.04
2012,31,2012-10-18,Santos,2,2,Atletico-MG,D,2.12,3.37,3.21
2012,31,2012-10-18,Portuguesa,0,0,Flamengo RJ,D,2.06,3.32,3.38
2012,31,2012-10-18,Cruzeiro,2,0,Corinthians,H,1.96,3.35,3.69
2012,31,2012-10-19,Botafogo RJ,3,2,Vasco,H,2.32,3.32,2.86
2012,31,2012-10-19,Sao Paulo,2,0,Atletico GO,H,1.25,5.52,10.16
2012,31,2012-10-19,Sport Recife,3,1,Ponte Preta,H,2.01,3.35,3.5
2012,32,2012-10-20,Corinthians,1,1,Bahia,D,1.76,3.51,4.41
2012,32,2012-10-20,Gremio,0,0,Coritiba,D,1.51,3.9,6.13
2012,32,2012-10-20,Palmeiras,2,0,Cruzeiro,H,1.84,3.47,4.0
2012,32,2012-10-21,Ponte Preta,1,0,Santos,H,2.89,3.35,2.3
2012,32,2012-10-21,Nautico,0,0,Portuguesa,D,1.69,3.56,4.79
2012,32,2012-10-21,Atletico GO,0,1,Sport Recife,A,2.36,3.29,2.83
2012,32,2012-10-21,Atletico-MG,3,2,Fluminense,H,2.1,3.29,3.32
2012,32,2012-10-21,Flamengo RJ,1,0,Sao Paulo,H,3.19,3.22,2.18
